"spkid","H","diameter","albedo","rot_per","GM","BV","UB","IR","epoch","epoch_mjd","e","a","q","i","om","w","ma","ad","tp","per"
3648735,26.60,,,,,,,,2460600.5,60600,0.5668,2.313,1.002,0.44,254.90,101.18,56.28,3.62,2460399.67,1.28e+03
3648742,20.80,,,,,,,,2460600.5,60600,0.5743,2.861,1.218,19.63,203.79,190.53,94.55,4.50,2460136.18,1.77e+03
3648741,22.30,,,,,,,,2456569.5,56569,0.7372,2.842,0.747,18.53,193.44,88.98,12.53,4.94,2456508.58,1.75e+03
3648740,24.80,,,,,,,,2456569.5,56569,0.3609,1.127,0.720,3.13,9.24,249.29,71.30,1.53,2456482.96,437
3648743,23.80,,,,,,,,2460600.5,60600,0.1232,1.278,1.120,13.33,189.77,205.07,212.40,1.44,2460816.84,528
3648744,25.70,,,,,,,,2456567.5,56567,0.5877,2.032,0.838,25.67,188.93,117.99,15.14,3.23,2456523.01,1.06e+03
3648739,24.20,,,,,,,,2460600.5,60600,0.5737,2.496,1.064,5.20,171.41,235.45,281.31,3.93,2460915.29,1.44e+03
3648745,22.20,,,0.7942,,,,,2460600.5,60600,0.4599,1.671,0.902,5.89,14.73,62.02,15.98,2.44,2460565.49,789
3648764,22.60,,,,,,,,2460600.5,60600,0.5180,2.052,0.989,28.98,4.29,314.52,285.50,3.11,2460822.63,1.07e+03
3648763,25.10,,,,,,,,2456568.5,56568,0.2641,1.421,1.046,14.02,188.56,142.05,22.76,1.80,2456529.40,619
3648765,24.70,,,,,,,,2460600.5,60600,0.1856,1.345,1.095,7.69,4.32,354.86,35.37,1.59,2460544.53,570
3648766,21.80,,,,,,,,2460600.5,60600,0.2955,1.786,1.258,3.89,345.57,46.77,219.16,2.31,2460941.52,872
3648767,23.15,,,,,,,,2460600.5,60600,0.4234,0.8888,0.512,28.03,188.46,2.42,238.19,1.27,2460704.06,306
3648768,22.40,,,,,,,,2460600.5,60600,0.2588,1.556,1.153,21.32,192.93,244.33,207.96,1.96,2460899.86,709
3648769,23.98,,,,,,,,2460600.5,60600,0.2479,0.936,0.704,7.02,204.02,23.72,198.39,1.17,2460748.99,331
3648839,24.35,,,,,,,,2460600.5,60600,0.5828,2.513,1.048,0.83,112.17,228.56,282.52,3.98,2460913.63,1.45e+03
3648840,25.20,,,,,,,,2456569.5,56569,0.3834,1.647,1.016,14.25,189.09,156.94,9.58,2.28,2456548.95,772
3648842,25.30,,,,,,,,2460600.5,60600,0.5246,1.989,0.945,5.07,204.12,204.88,325.42,3.03,2460698.88,1.02e+03
3648841,27.30,,,,,,,,2456571.5,56571,0.7602,1.882,0.451,6.32,188.82,73.41,19.63,3.31,2456520.09,943
3648843,27.40,,,,,,,,2460600.5,60600,0.4699,1.911,1.013,1.25,195.20,171.31,65.32,2.81,2460425.46,965
3648844,23.24,,,,,,,,2460600.5,60600,0.1238,1.24,1.087,15.63,194.36,88.45,73.70,1.39,2460497.21,505
3648846,20.90,,,,,,,,2460600.5,60600,0.3615,1.928,1.231,2.63,217.30,186.39,33.09,2.63,2460510.62,978
3648950,19.80,,,,,,,,2460600.5,60600,0.4765,2.48,1.298,23.21,47.73,328.60,300.91,3.66,2460834.62,1.43e+03
3648862,19.80,,,,,,,,2460600.5,60600,0.1557,0.7737,0.653,16.40,286.74,247.22,257.50,0.89,2460671.27,249
3648865,19.22,,,,,,,,2460600.5,60600,0.1274,0.9314,0.813,46.69,344.88,277.77,188.52,1.05,2460756.89,328
3648863,19.36,,,,,,,,2460600.5,60600,0.4880,1.108,0.568,54.31,195.57,336.35,66.52,1.65,2460521.75,426
3648864,26.30,,,,,,,,2460600.5,60600,0.0923,1.058,0.961,7.34,11.89,77.31,342.32,1.16,2460620.02,398
3648869,23.00,,,,,,,,2460600.5,60600,0.3033,1.668,1.162,13.01,1.17,17.37,40.21,2.17,2460512.58,787
3648871,24.00,,,,,,,,2456572.5,56572,0.5998,2.504,1.002,6.23,203.65,220.47,349.41,4.01,2456615.09,1.45e+03
3648868,23.40,,,,,,,,2456579.5,56579,0.5266,2.407,1.139,10.17,203.63,158.15,5.43,3.67,2456558.91,1.36e+03
3648870,24.70,,,,,,,,2456571.5,56571,0.4452,1.908,1.059,18.59,194.06,189.26,356.65,2.76,2456580.47,963
3648873,22.60,,,,,,,,2460600.5,60600,0.4835,0.7856,0.406,14.35,22.58,201.90,58.07,1.17,2460559.48,254
3648874,23.41,,,,,,,,2460600.5,60600,0.4752,1.639,0.860,9.89,192.62,120.55,115.17,2.42,2460355.35,766
3648872,22.00,,,,,,,,2460600.5,60600,0.4778,2.462,1.286,30.05,11.43,22.47,303.04,3.64,2460823.78,1.41e+03
3648877,21.80,,,2.46,,,,,2460600.5,60600,0.5350,2.44,1.134,7.29,221.57,187.19,313.85,3.74,2460778.93,1.39e+03
3648875,21.66,,,,,,,,2460600.5,60600,0.3477,1.217,0.794,22.58,202.56,39.30,175.59,1.64,2460361.34,490
3648878,26.58,,,0.0631,,,,,2460600.5,60600,0.1231,0.9411,0.825,3.46,12.96,222.37,172.91,1.06,2460440.35,333
3648876,25.80,,,,,,,,2456574.5,56574,0.5554,2.057,0.915,10.09,5.15,315.85,14.63,3.20,2456530.71,1.08e+03
3648879,25.20,,,,,,,,2456572.5,56572,0.1322,1.183,1.026,27.12,14.11,12.68,350.35,1.34,2456585.09,470
3648980,23.89,,,,,,,,2460600.5,60600,0.4873,1.536,0.787,7.59,12.43,274.82,322.89,2.28,2460672.15,695
3648981,28.60,,,,,,,,2456571.5,56571,0.5674,1.94,0.839,8.82,11.14,303.56,15.06,3.04,2456530.21,987
3648982,21.30,,,,,,,,2460600.5,60600,0.5484,2.602,1.175,11.96,15.76,300.01,244.55,4.03,2461092.15,1.53e+03
3648983,25.24,,,,,,,,2460600.5,60600,0.5520,1.663,0.745,1.08,164.50,288.20,26.31,2.58,2460543.25,783
3648984,28.00,,,,,,,,2456572.5,56572,0.4167,1.504,0.878,4.97,195.90,117.18,25.30,2.13,2456525.13,674
3649826,20.80,,,,,,,,2460600.5,60600,0.6143,3.334,1.286,8.07,9.43,32.40,285.11,5.38,2461062.97,2.22e+03
3649827,24.20,,,,,,,,2456575.5,56575,0.5629,2.467,1.078,2.31,336.51,51.46,357.67,3.86,2456584.68,1.42e+03
3649824,22.11,,,,,,,,2456572.5,56572,0.5870,2.419,0.999,10.29,181.43,121.06,15.58,3.84,2456513.00,1.37e+03
3649823,23.34,,,,,,,,2460600.5,60600,0.6225,2.53,0.955,5.05,175.02,255.67,255.78,4.11,2461026.12,1.47e+03
3649825,21.30,,,,,,,,2460600.5,60600,0.5278,2.475,1.168,35.27,198.18,187.57,295.22,3.78,2460856.34,1.42e+03
3650044,26.40,,,,,,,,2456573.5,56573,0.3541,1.337,0.864,6.62,10.73,293.60,36.31,1.81,2456516.54,565
3650046,23.30,,,,,,,,2460600.5,60600,0.5855,2.501,1.037,6.53,189.88,226.21,274.72,3.97,2460942.72,1.44e+03
3650045,25.80,,,,,,,,2460600.5,60600,0.5984,2.58,1.036,0.57,268.31,135.89,233.14,4.12,2461133.79,1.51e+03
3650362,17.54,,,2.632,,,,,2460600.5,60600,0.5437,2.825,1.289,12.70,58.97,17.71,100.93,4.36,2460114.24,1.73e+03
3650849,26.70,,,,,,,,2460600.5,60600,0.6499,2.526,0.884,0.31,43.52,284.92,276.05,4.17,2460942.38,1.47e+03
3650848,26.60,,,,,,,,2460600.5,60600,0.4186,1.273,0.740,2.61,204.38,258.54,201.77,1.81,2460831.05,525
3650847,26.20,,,,,,,,2460600.5,60600,0.0968,0.9349,0.844,13.46,198.75,2.30,242.70,1.03,2460708.08,330
3651153,20.07,,,,,,,,2460600.5,60600,0.3614,1.45,0.926,31.96,35.38,330.10,124.53,1.97,2460379.84,638
3651154,20.03,,,,,,,,2460600.5,60600,0.3284,1.875,1.259,11.59,195.62,243.14,65.70,2.49,2460429.35,938
3651155,24.50,,,,,,,,2456584.5,56584,0.2918,1.706,1.208,13.03,20.88,348.97,7.38,2.20,2456567.81,814
3651157,26.60,,,,,,,,2460600.5,60600,0.5569,2.189,0.970,1.79,192.01,152.65,151.48,3.41,2460102.62,1.18e+03
3651158,19.96,,,,,,,,2460600.5,60600,0.7580,2.364,0.572,6.05,182.24,103.12,27.99,4.16,2460497.27,1.33e+03
3651159,25.40,,,,,,,,2456578.5,56578,0.5547,2.334,1.039,12.88,197.13,197.51,356.27,3.63,2456591.99,1.3e+03
3651161,25.20,,,,,,,,2456578.5,56578,0.4972,0.7062,0.355,9.53,193.10,351.88,216.45,1.06,2456664.93,217
3651160,20.82,,,,,,,,2460600.5,60600,0.4400,2.2,1.232,6.70,87.04,266.40,143.01,3.17,2460126.88,1.19e+03
3651162,20.70,,,,,,,,2460600.5,60600,0.6355,2.591,0.944,15.97,27.48,277.17,249.02,4.24,2461069.99,1.52e+03
3651163,21.50,,,,,,,,2460600.5,60600,0.5118,2.615,1.277,15.76,198.36,198.62,214.08,3.95,2461226.61,1.54e+03
3651165,26.10,,,,,,,,2456579.5,56579,0.5689,2.466,1.063,4.22,21.49,357.08,0.58,3.87,2456577.21,1.41e+03
3651168,24.90,,,,,,,,2456577.5,56577,0.0790,1.103,1.016,16.70,198.02,229.91,315.49,1.19,2456629.83,423
3651167,23.20,,,,,,,,2456579.5,56579,0.8094,2.224,0.424,1.79,243.63,17.74,17.22,4.02,2456521.54,1.21e+03
3651166,21.70,,,,,,,,2460600.5,60600,0.5450,2.48,1.128,21.46,24.66,54.58,278.98,3.83,2460921.51,1.43e+03
3651169,21.90,,,,,,,,2460600.5,60600,0.6015,2.144,0.855,6.49,341.40,327.28,199.31,3.43,2461112.44,1.15e+03
3651170,24.00,,,,,,,,2456582.5,56582,0.5906,2.505,1.025,13.03,202.28,174.28,1.87,3.98,2456574.99,1.45e+03
3651198,19.50,,,,,,,,2460600.5,60600,0.5941,2.426,0.985,6.74,333.33,23.87,334.39,3.87,2460698.70,1.38e+03
3651199,20.56,,,,,,,,2460600.5,60600,0.2569,1.424,1.059,34.19,23.65,98.34,100.52,1.79,2460427.11,621
3651224,19.57,,,,,,,,2460600.5,60600,0.4927,2.231,1.132,22.33,220.45,106.96,130.93,3.33,2460157.81,1.22e+03
3653212,20.70,,,,,,,,2460600.5,60600,0.3036,1.771,1.233,2.61,45.40,294.29,270.08,2.31,2460815.53,861
3651205,26.60,,,,,,,,2460600.5,60600,0.3147,0.8476,0.581,3.22,209.37,314.54,289.17,1.11,2460656.57,285
3651206,21.86,,,,,,,,2460600.5,60600,0.4654,2.256,1.206,6.18,239.19,150.61,88.08,3.31,2460297.65,1.24e+03
3651225,23.28,,,,,,,,2460600.5,60600,0.3793,1.845,1.145,7.22,265.42,125.98,137.46,2.55,2460250.90,916
3652856,22.00,,,,,,,,2460600.5,60600,0.5599,1.698,0.748,5.46,259.35,51.97,12.11,2.65,2460573.31,808
3652857,20.78,,,,,,,,2460600.5,60600,0.3448,1.463,0.959,19.54,39.97,55.72,45.62,1.97,2460518.57,646
3652858,22.40,,,,,,,,2460600.5,60600,0.6197,2.402,0.914,4.60,321.45,18.97,350.41,3.89,2460636.72,1.36e+03
3652981,20.84,,,,,,,,2460600.5,60600,0.6334,2.434,0.892,6.71,286.25,173.68,297.28,3.98,2460842.15,1.39e+03
3652982,24.70,,,,,,,,2460600.5,60600,0.3388,1.574,1.041,4.05,25.73,30.59,188.18,2.11,2460944.73,721
3652983,24.70,,,,,,,,2460600.5,60600,0.3273,1.315,0.885,5.78,213.01,111.35,136.60,1.75,2460391.41,551
3652984,24.40,,,,,,,,2460600.5,60600,0.5277,1.983,0.937,2.69,201.40,236.91,320.80,3.03,2460711.59,1.02e+03
3652985,22.59,,,0.15558,,,,,2460600.5,60600,0.4834,0.7977,0.412,10.70,24.45,216.54,250.75,1.18,2460679.47,260
3653044,23.71,,,,,,,,2460600.5,60600,0.5478,2.46,1.112,4.21,333.76,51.42,306.47,3.81,2460810.05,1.41e+03
3653045,25.40,,,,,,,,2460600.5,60600,0.3617,1.62,1.034,9.92,30.08,13.58,111.12,2.21,2460368.00,753
3653046,27.90,,,,,,,,2456592.5,56592,0.7300,2.228,0.601,2.70,30.29,271.80,14.94,3.85,2456542.09,1.21e+03
3653047,25.60,,,,,,,,2460600.5,60600,0.2389,0.8911,0.678,2.12,207.13,17.54,182.04,1.10,2460752.38,307
3653048,24.25,,,,,,,,2460600.5,60600,0.5575,2.387,1.056,1.63,144.01,248.57,352.09,3.72,2460630.11,1.35e+03
3653065,29.20,,,,,,,,2460600.5,60600,0.1493,1.119,0.952,4.11,211.40,228.04,63.98,1.29,2460523.69,432
3653066,25.80,,,,,,,,2460600.5,60600,0.1981,0.8838,0.709,4.79,213.30,351.67,261.91,1.06,2460683.19,303
3653067,23.80,,,,,,,,2456594.5,56594,0.2716,1.647,1.200,21.59,33.20,5.37,357.65,2.09,2456599.54,772
3653069,22.20,,,,,,,,2460600.5,60600,0.6458,1.637,0.580,13.98,42.28,108.96,47.68,2.69,2460499.15,765
3653190,21.31,,,450,,,,,2460600.5,60600,0.1851,1.202,0.979,12.32,39.54,134.19,357.31,1.42,2460604.10,481
3653191,27.10,,,,,,,,2456590.5,56590,0.5607,1.523,0.669,0.98,200.59,102.69,28.48,2.38,2456536.21,686
3653193,26.80,,,,,,,,2460600.5,60600,0.5457,1.27,0.577,1.30,212.87,284.46,203.40,1.96,2460827.89,523
3653214,24.80,,,,,,,,2456592.5,56592,0.5178,2.305,1.111,5.67,26.01,12.88,358.41,3.50,2456598.16,1.28e+03
3653215,26.25,,,,,,,,2460600.5,60600,0.0817,1.075,0.987,10.01,29.59,279.69,23.84,1.16,2460573.54,407
3653213,26.05,,,,,,,,2460600.5,60600,0.1221,1.071,0.940,5.59,206.36,105.39,32.17,1.20,2460564.33,405
3653216,24.00,,,,,,,,2456591.5,56591,0.1951,1.328,1.069,38.92,34.15,340.75,13.09,1.59,2456571.17,559
3653248,24.50,,,,,,,,2460600.5,60600,0.5608,2.502,1.099,2.54,87.82,328.39,273.75,3.91,2460946.80,1.45e+03
3653250,24.10,,,2.69,,,,,2460600.5,60600,0.2589,1.335,0.990,14.38,39.17,38.82,13.41,1.68,2460579.51,564
3653251,28.02,,,,,,,,2456593.5,56593,0.5950,2.319,0.939,0.33,191.33,162.10,9.15,3.70,2456560.73,1.29e+03
3653252,24.30,,,,,,,,2456591.5,56591,0.3983,1.743,1.049,3.79,175.80,172.92,17.61,2.44,2456550.39,841
3653253,23.39,,,,,,,,2456594.5,56594,0.4493,1.125,0.619,26.76,27.93,254.40,57.37,1.63,2456525.08,436
3653254,23.90,,,,,,,,2456594.5,56594,0.6298,1.345,0.498,11.55,30.00,119.40,321.84,2.19,2456654.87,569
3653255,23.20,,,,,,,,2460600.5,60600,0.2965,1.693,1.191,18.07,32.14,13.62,346.33,2.19,2460631.05,804
3653256,23.20,,,,,,,,2456590.5,56590,0.4158,2.147,1.254,4.85,84.81,292.50,3.88,3.04,2456578.12,1.15e+03
3653257,23.60,,,,,,,,2456594.5,56594,0.3348,1.686,1.122,14.02,32.59,7.31,359.25,2.25,2456596.17,800
3653258,25.63,,,,,,,,2456592.5,56592,0.5435,2.164,0.988,2.83,31.30,327.33,9.34,3.34,2456562.34,1.16e+03
3653259,23.07,,,,,,,,2460600.5,60600,0.2551,0.8593,0.640,15.25,29.90,207.26,57.48,1.08,2460554.04,291
3653305,25.60,,,,,,,,2456594.5,56594,0.5069,1.858,0.916,0.46,337.68,6.89,15.53,2.80,2456554.62,925
3653304,22.60,,,,,,,,2460600.5,60600,0.6004,2.806,1.122,3.54,199.23,181.34,120.12,4.49,2460027.53,1.72e+03
3653306,25.00,,,,,,,,2460600.5,60600,0.2656,1.4,1.028,4.73,22.71,4.99,224.33,1.77,2460828.60,605
3653320,18.48,,,,,,,,2460600.5,60600,0.4863,2.17,1.115,5.72,309.18,35.53,162.34,3.23,2460073.99,1.17e+03
3653321,18.61,,,16.3,,,,,2460600.5,60600,0.5964,2.584,1.043,13.06,222.10,186.95,226.69,4.12,2461162.28,1.52e+03
3653324,26.50,,,,,,,,2460600.5,60600,0.5678,2.248,0.972,6.29,216.62,207.02,83.39,3.52,2460315.27,1.23e+03
3653323,26.20,,,,,,,,2456597.5,56597,0.4927,1.917,0.972,7.12,218.26,144.36,11.12,2.86,2456567.55,969
3653319,24.30,,,,,,,,2456598.5,56598,0.5552,2.474,1.101,10.26,217.46,184.06,359.61,3.85,2456600.04,1.42e+03
3653322,24.57,,,,,,,,2460600.5,60600,0.2466,1.216,0.916,2.96,38.59,284.01,118.66,1.52,2460439.09,490
3653343,22.70,,,,,,,,2460600.5,60600,0.5888,2.581,1.061,14.99,22.33,336.69,238.60,4.10,2461111.19,1.51e+03
3653344,25.30,,,,,,,,2456599.5,56599,0.5873,2.569,1.060,3.54,233.73,139.04,6.12,4.08,2456573.94,1.5e+03
3653388,19.70,,,59.,,,,,2460600.5,60600,0.4639,2.058,1.103,7.00,237.18,269.60,202.53,3.01,2461072.20,1.08e+03
3655374,18.21,,,33.119,,,,,2460600.5,60600,0.5333,2.329,1.087,7.20,40.15,331.71,49.74,3.57,2460421.11,1.3e+03
3653389,24.60,,,,,,,,2460600.5,60600,0.2978,1.392,0.978,22.87,215.66,142.60,263.57,1.81,2460761.19,600
3653390,27.70,,,,,,,,2460600.5,60600,0.2887,1.181,0.840,7.52,217.99,106.19,237.00,1.52,2460760.62,469
3653410,26.40,,,,,,,,2460600.5,60600,0.6513,2.622,0.914,5.70,217.44,228.27,205.41,4.33,2461266.41,1.55e+03
3653411,27.40,,,,,,,,2456599.5,56599,0.5995,2.497,1.000,3.83,221.67,197.75,356.06,3.99,2456615.26,1.44e+03
3653413,21.60,,,3.8,,,,,2460600.5,60600,0.2804,1.546,1.112,38.33,226.25,202.86,237.43,1.98,2460839.50,702
3653412,19.72,,,,,,,,2460600.5,60600,0.4982,2.37,1.189,3.94,247.12,94.53,23.27,3.55,2460514.34,1.33e+03
3653414,22.25,,,,,,,,2460600.5,60600,0.6073,2.915,1.145,14.58,42.19,336.07,74.98,4.69,2460221.81,1.82e+03
3653415,24.20,,,,,,,,2460600.5,60600,0.4551,1.854,1.010,7.29,43.31,338.78,128.17,2.70,2460272.17,922
3653469,20.48,,,,,,,,2460600.5,60600,0.2546,1.67,1.245,18.71,195.38,249.84,358.09,2.10,2460604.68,788
3653470,21.70,,,,,,,,2460600.5,60600,0.5180,2.472,1.192,17.79,228.74,153.68,301.75,3.75,2460830.24,1.42e+03
3653468,27.10,,,,,,,,2460600.5,60600,0.3575,1.554,0.999,4.38,220.16,209.73,221.74,2.11,2460872.31,708
3653471,24.30,,,,,,,,2456602.5,56602,0.6084,2.614,1.024,3.32,53.52,303.35,9.76,4.21,2456560.63,1.54e+03
3653472,21.88,,,,,,,,2460600.5,60600,0.2895,1.116,0.793,13.56,207.65,343.81,339.40,1.44,2460625.12,430
3653521,19.74,,,,,,,,2460600.5,60600,0.5599,2.758,1.214,19.13,231.87,167.58,144.92,4.30,2459926.88,1.67e+03
3653522,25.80,,,,,,,,2456603.5,56603,0.4453,1.585,0.879,8.11,220.67,118.47,25.54,2.29,2456551.76,729
3653519,23.82,,,,,,,,2460600.5,60600,0.4682,1.838,0.977,3.18,82.78,352.05,124.63,2.70,2460285.42,910
3653520,22.90,,,,,,,,2460600.5,60600,0.5427,2.019,0.923,7.29,195.82,137.23,315.67,3.11,2460729.52,1.05e+03
3653535,26.30,,,,,,,,2456601.5,56601,0.6156,2.531,0.973,1.66,207.35,167.10,5.46,4.09,2456579.19,1.47e+03
3653534,25.70,,,,,,,,2460600.5,60600,0.6731,2.656,0.868,1.10,121.00,232.28,195.08,4.44,2461324.80,1.58e+03
3653555,27.40,,,,,,,,2460600.5,60600,0.4728,1.746,0.920,4.54,220.52,141.39,281.33,2.57,2460784.66,843
3653537,21.36,,,,,,,,2460600.5,60600,0.6908,1.279,0.396,2.02,74.00,211.07,237.24,2.16,2460780.74,529
3653599,23.70,,,,,,,,2456617.5,56617,0.4314,1.537,0.874,2.97,145.76,194.45,33.90,2.20,2456551.99,696
3653600,19.97,,,,,,,,2460600.5,60600,0.4549,2.302,1.255,6.69,129.09,218.72,72.09,3.35,2460344.97,1.28e+03
3653602,22.31,,,6.23,,,,,2460600.5,60600,0.7665,1.168,0.273,1.03,104.95,164.34,281.19,2.06,2460701.45,461
3653601,22.70,,,,,,,,2460600.5,60600,0.3093,1.635,1.129,24.20,41.37,348.70,89.50,2.14,2460410.66,764
3653603,24.80,,,,,,,,2460600.5,60600,0.3650,1.566,0.995,2.04,223.98,240.38,181.13,2.14,2460956.26,716
3653605,27.90,,,,,,,,2460600.5,60600,0.4039,1.507,0.898,0.20,82.55,276.12,347.26,2.12,2460624.43,676
3653646,26.90,,,,,,,,2460600.5,60600,0.4998,1.99,0.996,9.46,48.96,346.58,325.01,2.99,2460700.19,1.03e+03
3653647,28.30,,,,,,,,2460600.5,60600,0.3433,1.2,0.788,2.12,51.66,274.80,164.83,1.61,2460380.74,480
3653648,25.60,,,,,,,,2456606.5,56606,0.6590,2.277,0.776,3.09,60.33,279.81,12.83,3.78,2456561.78,1.25e+03
3653649,25.80,,,,,,,,2456612.5,56612,0.5623,2.375,1.040,8.11,225.88,163.75,5.95,3.71,2456590.41,1.34e+03
3653650,25.90,,,,,,,,2456604.5,56604,0.5387,2.004,0.924,0.74,160.65,193.65,14.54,3.08,2456562.65,1.04e+03
3653652,20.60,,,,,,,,2460600.5,60600,0.6253,2.687,1.007,23.40,34.41,304.81,184.86,4.37,2461382.99,1.61e+03
3653651,22.73,,,,,,,,2460600.5,60600,0.3885,1.232,0.753,2.80,248.00,57.52,55.53,1.71,2460523.45,499
3653680,24.40,,,,,,,,2456609.5,56609,0.6373,2.781,1.008,6.77,230.32,220.46,352.68,4.55,2456643.93,1.69e+03
3653682,24.80,,,,,,,,2456610.5,56610,0.5650,2.503,1.089,1.03,49.51,352.63,2.37,3.92,2456600.97,1.45e+03
3653684,17.64,,,,,,,,2460600.5,60600,0.5640,2.849,1.242,18.50,46.31,355.51,95.11,4.46,2460136.42,1.76e+03
3653689,21.05,,,,,,,,2460600.5,60600,0.4319,1.151,0.654,25.79,62.96,222.80,19.73,1.65,2460575.78,451
3653686,21.36,,,,,,,,2460600.5,60600,0.5568,2.229,0.988,11.14,162.37,320.74,84.47,3.47,2460315.36,1.22e+03
