"spkid","full_name","pdes","orbit_id","diameter","e","a","q","i","om","ma","ad","tp","producer","first_obs","last_obs","n_obs_used","w","class","moid"
20006037,"  6037 (1988 EG)",6037,"JPL 165",,0.4997,1.272,0.636,3.51,182.18,249.72,1.91,2460760.94,"Otto Matic",1988-03-12,2024-07-01,1100,242.32,APO,0.0241
20006047,"  6047 (1991 TB1)",6047,"JPL 169",,0.3521,1.455,0.942,23.47,6.07,242.40,1.97,2460809.80,"Otto Matic",1985-03-20,2022-01-14,857,103.82,APO,0.142
20006053,"  6053 (1993 BW3)",6053,"JPL 379",3.720,0.5287,2.147,1.012,21.58,318.23,82.05,3.28,2460338.67,"Otto Matic",1976-06-04,2024-03-28,3294,74.93,APO,0.222
20006063,"  6063 Jason (1984 KB)",6063,"JPL 214",1.4,0.7622,2.22,0.528,4.96,169.03,99.90,3.91,2460265.20,"Otto Matic",1960-10-22,2024-06-13,1317,337.61,APO,0.0763
20006239,"  6239 Minos (1989 QF)",6239,"JPL 241",,0.4126,1.151,0.676,3.94,344.53,224.50,1.63,2460770.27,"Otto Matic",1983-01-14,2023-10-21,1502,239.77,APO,0.0263
20006455,"  6455 (1992 HE)",6455,"JPL 516",4.626,0.5728,2.24,0.957,37.34,26.89,230.08,3.52,2461042.38,"Otto Matic",1989-09-29,2024-01-20,5113,262.75,APO,0.29
20006489,"  6489 Golevka (1991 JX)",6489,"JPL 107",0.53,0.6151,2.484,0.956,2.27,209.42,151.88,4.01,2459997.28,"Otto Matic",1991-04-15,2015-11-03,1017,68.66,APO,0.024
20006611,"  6611 (1993 VW)",6611,"JPL 280",1.408,0.4846,1.696,0.874,8.70,230.77,315.03,2.52,2460701.29,"Otto Matic",1982-11-15,2024-10-11,1443,281.59,APO,0.0611
20007025,"  7025 (1993 QA)",7025,"JPL 151",0.498,0.3150,1.476,1.011,12.61,146.59,14.75,1.94,2460573.66,"Otto Matic",1993-08-16,2023-07-09,963,323.45,APO,0.064
20007092,"  7092 Cadmus (1992 LC)",7092,"JPL 236",6.319,0.6935,2.545,0.780,17.79,56.72,30.55,4.31,2460474.64,"Otto Matic",1980-06-02,2024-08-22,1451,94.77,APO,0.102
20007335,"  7335 (1989 JA)",7335,"JPL 223",1.8,0.4846,1.772,0.913,15.17,61.28,349.17,2.63,2460626.41,"Otto Matic",1989-04-06,2024-04-30,2648,232.27,APO,0.0231
20007341,"  7341 (1991 VK)",7341,"JPL 445",0.982,0.5061,1.841,0.909,5.41,294.73,37.89,2.77,2460504.43,"Otto Matic",1991-09-12,2023-07-22,2443,173.48,APO,0.0471
20007350,"  7350 (1993 VA)",7350,"JPL 369",1.921,0.3911,1.356,0.826,7.26,133.05,183.75,1.89,2460882.87,"Otto Matic",1963-10-15,2024-07-11,2074,336.70,APO,0.0799
20007482,"  7482 (1994 PC1)",7482,"JPL 218",1.052,0.3294,1.349,0.904,33.47,117.85,246.56,1.79,2460780.76,"Otto Matic",1974-09-22,2024-09-06,1491,47.49,APO,0.000596
20007753,"  7753 (1988 XB)",7753,"JPL 235",,0.4817,1.467,0.761,3.12,73.39,95.85,2.17,2460427.66,"Otto Matic",1988-12-05,2023-03-25,1305,280.08,APO,0.00655
20007822,"  7822 (1991 CS)",7822,"JPL 315",1.602,0.1646,1.123,0.938,37.12,156.84,182.35,1.31,2460814.92,"Otto Matic",1991-01-19,2023-06-25,3958,249.45,APO,0.0226
20007888,"  7888 (1993 UC)",7888,"JPL 202",2.298,0.6631,2.438,0.821,26.07,165.89,24.14,4.05,2460507.27,"Otto Matic",1989-10-28,2023-11-06,1430,323.01,APO,0.0843
20007889,"  7889 (1994 LX)",7889,"JPL 489",1.680,0.3463,1.262,0.825,36.91,111.26,337.10,1.70,2460633.42,"Otto Matic",1977-08-10,2024-10-12,5311,349.18,APO,0.154
20008014,"  8014 (1990 MF)",8014,"JPL 178",0.7,0.4560,1.747,0.951,1.87,209.84,291.48,2.54,2460761.05,"Otto Matic",1990-06-14,2024-02-10,1272,114.73,APO,0.0169
20008035,"  8035 (1992 TB)",8035,"JPL 230",,0.4624,1.342,0.722,28.30,185.61,13.70,1.96,2460578.89,"Otto Matic",1992-10-02,2023-12-08,1498,6.12,APO,0.271
20008176,"  8176 (1991 WA)",8176,"JPL 162",,0.6432,1.575,0.562,39.59,66.51,260.84,2.59,2460799.33,"Otto Matic",1991-12-01,2024-01-07,951,241.88,APO,0.193
20008201,"  8201 (1994 AH2)",8201,"JPL 155",1.859,0.7061,2.539,0.746,9.54,164.09,199.52,4.33,2461259.21,"Otto Matic",1981-12-16,2024-10-10,908,25.13,APO,0.1
20008507,"  8507 (1991 CB1)",8507,"JPL 132",,0.5944,1.687,0.684,14.58,317.41,9.42,2.69,2460579.56,"Otto Matic",1991-02-15,2024-05-04,617,345.77,APO,0.22
20008566,"  8566 (1996 EN)",8566,"JPL 288",1.568,0.4302,1.506,0.858,37.97,164.12,90.11,2.15,2460431.47,"Otto Matic",1983-04-06,2024-03-30,3627,125.13,APO,0.0214
20009058,"  9058 (1992 JB)",9058,"JPL 178",,0.3596,1.557,0.997,16.09,218.30,284.90,2.12,2460748.50,"Otto Matic",1992-01-09,2024-10-03,930,307.06,APO,0.0865
20009162,"  9162 Kwiila (1987 OA)",9162,"JPL 155",1.127,0.5956,1.497,0.605,9.01,179.99,77.31,2.39,2460456.89,"Otto Matic",1987-07-18,2023-06-08,776,235.83,APO,0.0809
20009202,"  9202 (1993 PB)",9202,"JPL 190",1.617,0.6078,1.424,0.558,40.80,315.89,225.05,2.29,2460833.11,"Otto Matic",1993-08-13,2024-10-09,2154,212.36,APO,0.372
20009856,"  9856 (1991 EE)",9856,"JPL 194",1.0,0.6258,2.242,0.839,9.83,168.11,314.61,3.65,2460755.13,"Otto Matic",1991-03-13,2024-01-11,1308,116.18,APO,0.0224
20010115," 10115 (1992 SK)",10115,"JPL 350",0.938,0.3250,1.249,0.843,15.32,8.89,84.54,1.65,2460480.83,"Otto Matic",1953-10-12,2024-10-11,2201,233.69,APO,0.0444
20010145," 10145 (1994 CK1)",10145,"JPL 164",,0.6326,1.901,0.698,4.55,328.38,348.39,3.10,2460631.37,"Otto Matic",1994-02-10,2024-06-08,1377,27.45,APO,0.0625
20010165," 10165 (1995 BL2)",10165,"JPL 207",0.829,0.5037,1.235,0.613,23.90,312.42,91.71,1.86,2460472.84,"Otto Matic",1991-02-22,2024-09-28,1194,348.46,APO,0.376
20010563," 10563 Izhdubar (1993 WD)",10563,"JPL 88",,0.2662,1.007,0.739,63.47,56.56,106.82,1.27,2460491.01,"Otto Matic",1991-11-13,2022-06-30,659,132.20,APO,0.145
20010636," 10636 (1998 QK56)",10636,"JPL 141",0.533,0.5129,1.884,0.918,13.58,172.93,359.24,2.85,2460602.50,"Otto Matic",1955-05-16,2024-09-15,814,286.31,APO,0.112
20011066," 11066 Sigurd (1992 CC1)",11066,"JPL 378",2.104,0.3754,1.392,0.869,36.88,349.22,75.15,1.91,2460475.33,"Otto Matic",1976-04-01,2023-05-15,2202,22.03,APO,0.118
20011311," 11311 Peleus (1993 XN2)",11311,"JPL 184",,0.5359,2.117,0.983,25.49,59.32,26.51,3.25,2460517.66,"Otto Matic",1993-12-10,2024-10-09,879,313.45,APO,0.0954
20011405," 11405 (1999 CV3)",11405,"JPL 662",3.621,0.3939,1.46,0.885,22.86,141.25,153.90,2.03,2460325.15,"Otto Matic",1978-10-25,2024-10-12,6893,96.40,APO,0.119
20011500," 11500 Tomaiyowit (1989 UR)",11500,"JPL 213",0.738,0.3558,1.08,0.696,10.31,234.39,323.61,1.46,2460641.94,"Otto Matic",1989-10-25,2019-08-18,1243,289.52,APO,0.0345
20011885," 11885 Summanus (1990 SS)",11885,"JPL 82",1.298,0.4744,1.703,0.895,19.43,359.78,59.35,2.51,2460466.64,"Otto Matic",1990-09-25,2023-09-04,397,116.20,APO,0.0686
20012538," 12538 (1998 OH)",12538,"JPL 593",1.663,0.4058,1.542,0.916,24.54,220.69,317.04,2.17,2460683.93,"Otto Matic",1991-10-10,2024-10-07,11312,321.79,APO,0.0269
20012711," 12711 Tukmit (1991 BB)",12711,"JPL 413",,0.2722,1.186,0.863,38.49,294.96,291.28,1.51,2460690.59,"Otto Matic",1991-01-12,2023-03-15,3271,322.88,APO,0.11
20012923," 12923 Zephyr (1999 GK4)",12923,"JPL 451",2.060,0.4918,1.963,0.998,5.30,168.17,51.56,2.93,2460456.63,"Otto Matic",1955-04-21,2024-10-10,2646,147.13,APO,0.0218
20013651," 13651 (1997 BR)",13651,"JPL 171",0.562,0.3057,1.335,0.927,17.25,116.63,262.62,1.74,2460752.98,"Otto Matic",1980-02-09,2023-01-23,1094,133.86,APO,0.0139
20014827," 14827 Hypnos (1986 JK)",14827,"JPL 89",0.9,0.6649,2.841,0.952,1.98,57.93,21.63,4.73,2460495.41,"Otto Matic",1986-05-04,2024-10-11,331,238.19,APO,0.0153
20016816," 16816 (1997 UF9)",16816,"JPL 299",,0.6038,1.442,0.571,25.92,37.14,95.46,2.31,2460432.72,"Otto Matic",1997-10-29,2024-10-05,1741,158.01,APO,0.38
20016834," 16834 (1997 WU22)",16834,"JPL 584",1.87,0.4421,1.468,0.819,16.00,260.76,247.48,2.12,2460803.57,"Otto Matic",1988-10-08,2024-10-02,3491,334.39,APO,0.145
20016960," 16960 (1998 QS52)",16960,"JPL 415",,0.8590,2.201,0.310,17.52,260.15,308.68,4.09,2460770.48,"Otto Matic",1983-06-14,2024-10-10,2509,243.25,APO,0.0176
20017181," 17181 (1999 UM3)",17181,"JPL 103",,0.6740,2.37,0.773,10.65,113.56,275.92,3.97,2460911.71,"Otto Matic",1955-10-24,2024-10-08,1156,36.78,APO,0.0713
20017182," 17182 (1999 VU)",17182,"JPL 261",2.885,0.5533,1.387,0.620,9.26,333.48,25.70,2.15,2460557.89,"Otto Matic",1977-07-18,2023-12-07,1422,203.23,APO,0.144
20017188," 17188 (1999 WC2)",17188,"JPL 185",1.819,0.6369,2.216,0.805,29.45,269.76,172.44,3.63,2460023.52,"Otto Matic",1990-07-27,2024-09-09,771,287.25,APO,0.0644
20017511," 17511 (1992 QN)",17511,"JPL 357",,0.3587,1.19,0.763,9.58,355.89,10.89,1.62,2460586.16,"Otto Matic",1992-08-29,2023-08-19,2776,202.44,APO,0.132
20020236," 20236 (1998 BZ7)",20236,"JPL 50",,0.5610,2.034,0.893,6.51,111.23,42.72,3.17,2460474.80,"Otto Matic",1998-01-24,2024-09-08,352,104.58,APO,0.0502
20020425," 20425 (1998 VD35)",20425,"JPL 31",,0.4764,1.565,0.819,6.99,227.25,32.70,2.31,2460535.55,"Otto Matic",1998-11-15,2005-07-29,51,296.32,APO,0.0029
20020429," 20429 (1998 YN1)",20429,"JPL 115",,0.4642,1.556,0.834,6.30,61.73,42.37,2.28,2460517.06,"Otto Matic",1998-12-16,2024-02-28,635,147.72,APO,0.0563
20020826," 20826 (2000 UV13)",20826,"JPL 473",3.687,0.6362,2.418,0.880,31.92,347.28,93.36,3.96,2460244.32,"Otto Matic",1953-10-01,2024-10-06,3687,198.70,APO,0.0896
20022099," 22099 (2000 EX106)",22099,"JPL 297",0.524,0.2762,1.104,0.799,9.85,136.43,320.17,1.41,2460647.41,"Otto Matic",1994-01-30,2024-03-29,2341,186.56,APO,0.167
20022753," 22753 (1998 WT)",22753,"JPL 265",,0.5699,1.219,0.524,3.20,307.36,165.33,1.91,2460374.75,"Otto Matic",1955-10-24,2024-09-13,1139,324.80,APO,0.0337
20022771," 22771 (1999 CU3)",22771,"JPL 471",,0.5243,1.576,0.750,11.40,338.91,256.93,2.40,2460807.40,"Otto Matic",1999-02-10,2023-12-31,2684,305.83,APO,0.0635
20023187," 23187 (2000 PN9)",23187,"JPL 401",,0.5893,1.847,0.759,51.33,164.29,167.50,2.94,2460173.89,"Otto Matic",1990-08-02,2024-06-11,2257,293.53,APO,0.0124
20024443," 24443 (2000 OG)",24443,"JPL 135",,0.8224,2.311,0.410,25.74,178.08,307.38,4.21,2460788.02,"Otto Matic",1993-06-24,2024-06-16,625,231.22,APO,0.151
