"spkid","full_name","pdes","orbit_id","diameter","e","a","q","i","om","ma","ad","tp","producer","first_obs","last_obs","n_obs_used","w","class","moid"
20008566,"  8566 (1996 EN)",8566,"JPL 288",1.568,0.4302,1.506,0.858,37.97,164.12,90.11,2.15,2460431.47,"Otto Matic",1983-04-06,2024-03-30,3627,125.13,APO,0.0214
20009856,"  9856 (1991 EE)",9856,"JPL 194",1.0,0.6258,2.242,0.839,9.83,168.11,314.61,3.65,2460755.13,"Otto Matic",1991-03-13,2024-01-11,1308,116.18,APO,0.0224
20010115," 10115 (1992 SK)",10115,"JPL 350",0.938,0.3250,1.249,0.843,15.32,8.89,84.54,1.65,2460480.83,"Otto Matic",1953-10-12,2024-10-11,2201,233.69,APO,0.0444
20011500," 11500 Tomaiyowit (1989 UR)",11500,"JPL 213",0.738,0.3558,1.08,0.696,10.31,234.39,323.61,1.46,2460641.94,"Otto Matic",1989-10-25,2019-08-18,1243,289.52,APO,0.0345
20012538," 12538 (1998 OH)",12538,"JPL 593",1.663,0.4058,1.542,0.916,24.54,220.69,317.04,2.17,2460683.93,"Otto Matic",1991-10-10,2024-10-07,11312,321.79,APO,0.0269
20012923," 12923 Zephyr (1999 GK4)",12923,"JPL 451",2.060,0.4918,1.963,0.998,5.30,168.17,51.56,2.93,2460456.63,"Otto Matic",1955-04-21,2024-10-10,2646,147.13,APO,0.0218
20013651," 13651 (1997 BR)",13651,"JPL 171",0.562,0.3057,1.335,0.927,17.25,116.63,262.62,1.74,2460752.98,"Otto Matic",1980-02-09,2023-01-23,1094,133.86,APO,0.0139
20014827," 14827 Hypnos (1986 JK)",14827,"JPL 89",0.9,0.6649,2.841,0.952,1.98,57.93,21.63,4.73,2460495.41,"Otto Matic",1986-05-04,2024-10-11,331,238.19,APO,0.0153
20016960," 16960 (1998 QS52)",16960,"JPL 415",,0.8590,2.201,0.310,17.52,260.15,308.68,4.09,2460770.48,"Otto Matic",1983-06-14,2024-10-10,2509,243.25,APO,0.0176
20020425," 20425 (1998 VD35)",20425,"JPL 31",,0.4764,1.565,0.819,6.99,227.25,32.70,2.31,2460535.55,"Otto Matic",1998-11-15,2005-07-29,51,296.32,APO,0.0029
20022753," 22753 (1998 WT)",22753,"JPL 265",,0.5699,1.219,0.524,3.20,307.36,165.33,1.91,2460374.75,"Otto Matic",1955-10-24,2024-09-13,1139,324.80,APO,0.0337
20023187," 23187 (2000 PN9)",23187,"JPL 401",,0.5893,1.847,0.759,51.33,164.29,167.50,2.94,2460173.89,"Otto Matic",1990-08-02,2024-06-11,2257,293.53,APO,0.0124
20025143," 25143 Itokawa (1998 SF36)",25143,"JPL 221",0.33,0.2803,1.324,0.953,1.62,69.08,142.57,1.70,2460380.09,"Otto Matic",1998-09-19,2024-10-06,971,162.82,APO,0.0129
